participant_id,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9
t6ybrbbo92bx87dy9vpy,3.0,,3.0,1.0,,1.0,1.0,,,,3.0,,2.0,1.0,,,,2.5,1.0,,4.0,2.5,,2.0,2.0,,2.0,2.0,2.0,,,,5.0,2.0,3.0,2.0,,2.0,2.0,,,2.0,5.0,3.0,5.0,5.0,4.0,2.5,,
ttuv6lq5ifqyc6jpwgk94,1.0,,,1.0,2.0,1.0,2.0,,,,3.3333333333333335,,3.0,2.5,,,,3.0,1.5,,,4.0,,3.0,4.0,3.0,2.0,3.0,,2.5,,,,2.0,2.5,3.5,,3.0,3.0,3.0,5.0,3.5,5.0,4.0,,5.0,2.0,,2.0,
vj735xlt2yj805wyn5rimq,2.0,1.0,,2.0,3.0,,3.0,,,,2.0,,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,2.0,1.0,,,1.0,1.5,1.0,,,,1.5,2.0,,3.3333333333333335,1.0,3.0,1.0,1.0,1.5,4.0,1.0,,,4.0,,,4.0
vks4a5zeivbfimepmxbxq,,,,1.6666666666666667,,,,,,,5.0,,,,,,,1.5,,,3.0,,,,,,2.0,1.0,,,,,,5.0,,3.0,,,2.0,,5.0,,5.0,,,,,,3.0,
wqc6g1y755ulfhnkoksei,2.0,,3.0,2.0,2.0,,4.0,2.5,,,3.0,,2.0,,,,,3.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,,,,2.5,2.0,2.0,2.0,2.0,2.0,,3.6666666666666665,4.0,4.0,4.0,,4.0,,,2.0,
x37bofyh0fazkr02jlztlm,,,3.0,3.6666666666666665,1.0,1.0,3.0,,,,1.0,4.0,2.6666666666666665,1.0,,1.0,,4.0,,1.0,2.6666666666666665,,,,,3.0,,2.0,1.25,3.0,,1.0,,3.0,,,2.6666666666666665,1.5,,1.0,,2.0,,,5.0,5.0,4.0,2.0,3.0,4.0
ymxfxn696we9rp1tnnub3f,1.0,,,1.3333333333333333,,1.6666666666666667,3.0,1.0,3.0,,2.6666666666666665,,,1.5,2.0,,,,1.0,1.0,3.0,3.0,4.0,,3.0,2.5,4.0,,,3.0,1.0,2.0,,3.0,,2.6666666666666665,3.0,2.5,,,,,5.0,5.0,5.0,5.0,3.5,,4.0,5.0
ysobwzccpice783avao5c,2.0,,3.0,2.0,,3.0,3.0,2.0,,,3.0,2.0,3.0,,,,,3.5,2.0,,3.0,3.5,,,3.0,3.0,,1.5,4.0,,,2.0,,3.5,,,4.0,3.0,5.0,3.0,5.0,4.0,5.0,,5.0,5.0,,,4.0,4.0
yteg94bzq131bqsl7uyqo,2.0,,,3.0,1.0,1.0,2.0,3.0,,,2.0,,2.0,,,,,3.0,2.0,1.5,,3.0,3.0,3.0,1.0,,1.6666666666666667,,1.0,3.0,2.0,1.0,,4.0,2.0,,3.0,,4.5,2.0,,3.0,5.0,5.0,,,,2.0,,5.0
ztwx6tnel7ogegc0h9hjqr,3.0,2.0,3.0,,1.0,1.25,,2.0,3.0,,2.4,,2.0,,,,,4.0,,1.0,1.0,1.5,,2.5,2.0,3.0,1.0,,,1.0,,1.0,,2.0,,1.0,,1.0,3.25,1.0,,,4.0,3.0,4.5,,,,3.0,4.25
